date,chief,count,avg_progressive,avg_split
1946,Vinson,25,0.2,6.08
1947,Vinson,135,0.08888888888888889,5.562962962962963
1948,Vinson,118,0.211864406779661,4.559322033898305
1949,Vinson,134,0.11194029850746269,5.014925373134329
1950,Vinson,97,-0.13402061855670103,5.103092783505154
1951,Vinson,100,-0.13,4.99
1952,Vinson,114,-0.14912280701754385,4.7894736842105265
1953,Vinson,110,-0.045454545454545456,5.0
1954,Warren,87,0.011494252873563218,5.528735632183908
1955,Warren,96,0.34375,5.46875
1956,Warren,105,0.3523809523809524,5.333333333333333
1957,Warren,137,0.35766423357664234,5.043795620437956
1958,Warren,151,0.23178807947019867,5.033112582781457
1959,Warren,130,0.16923076923076924,5.3307692307692305
1960,Warren,143,0.26573426573426573,4.958041958041958
1961,Warren,137,0.12408759124087591,5.343065693430657
1962,Warren,121,0.3884297520661157,5.413223140495868
1963,Warren,170,0.5941176470588235,6.105882352941176
1964,Warren,171,0.5555555555555556,5.87719298245614
1965,Warren,145,0.25517241379310346,6.448275862068965
1966,Warren,138,0.21014492753623187,5.913043478260869
1967,Warren,166,0.4939759036144578,5.463855421686747
1968,Warren,171,0.4444444444444444,5.654970760233918
1969,Warren,137,0.32116788321167883,5.350364963503649
1970,Burger,134,0.05970149253731343,5.074626865671642
1971,Burger,163,-0.006134969325153374,5.159509202453988
1972,Burger,173,0.023121387283236993,5.421965317919075
1973,Burger,187,-0.058823529411764705,4.957219251336898
1974,Burger,163,-0.11042944785276074,5.257668711656442
1975,Burger,155,-0.03225806451612903,5.929032258064516
1976,Burger,189,-0.24338624338624337,5.693121693121693
1977,Burger,171,-0.14035087719298245,5.47953216374269
1978,Burger,157,-0.08280254777070063,5.197452229299363
1979,Burger,153,-0.11764705882352941,5.529411764705882
1980,Burger,162,-0.043209876543209874,4.987654320987654
1981,Burger,153,-0.1895424836601307,5.26797385620915
1982,Burger,174,-0.034482758620689655,5.385057471264368
1983,Burger,162,-0.12962962962962962,5.419753086419753
1984,Burger,171,-0.21052631578947367,5.748538011695906
1985,Burger,175,-0.13714285714285715,5.348571428571429
1986,Burger,160,-0.15625,5.01875
1987,Rehnquist,160,-0.10625,4.7
1988,Rehnquist,155,0.012903225806451613,5.309677419354839
1989,Rehnquist,150,-0.16,5.1466666666666665
1990,Rehnquist,143,-0.04895104895104895,5.2727272727272725
1991,Rehnquist,131,-0.05343511450381679,5.480916030534351
1992,Rehnquist,113,-0.008849557522123894,5.584070796460177
1993,Rehnquist,119,-0.08403361344537816,6.1344537815126055
1994,Rehnquist,96,-0.15625,6.010416666666667
1995,Rehnquist,93,-0.15053763440860216,5.946236559139785
1996,Rehnquist,91,-0.07692307692307693,6.1208791208791204
1997,Rehnquist,98,-0.24489795918367346,6.26530612244898
1998,Rehnquist,98,-0.19387755102040816,6.214285714285714
1999,Rehnquist,93,-0.3333333333333333,5.89247311827957
2000,Rehnquist,84,0.047619047619047616,5.523809523809524
2001,Rehnquist,87,-0.09195402298850575,5.620689655172414
2002,Rehnquist,87,-0.20689655172413793,5.64367816091954
2003,Rehnquist,81,-0.1111111111111111,5.802469135802469
2004,Rehnquist,83,-0.13253012048192772,5.831325301204819
2005,Rehnquist,81,0.08641975308641975,5.617283950617284
2006,Roberts,80,-0.1875,6.1125
2007,Roberts,77,-0.12987012987012986,5.259740259740259
2008,Roberts,72,0.013888888888888888,5.069444444444445
2009,Roberts,86,-0.23255813953488372,5.383720930232558
2010,Roberts,87,0.022988505747126436,5.666666666666667
2011,Roberts,87,-0.14942528735632185,5.873563218390805
2012,Roberts,76,-0.09210526315789473,5.7631578947368425
2013,Roberts,84,-0.023809523809523808,5.773809523809524
2014,Roberts,69,0.11594202898550725,6.550724637681159
2015,Roberts,72,0.125,5.472222222222222
2016,Roberts,81,0.037037037037037035,5.827160493827161
2017,Roberts,67,0.029850746268656716,6.373134328358209
2018,Roberts,75,-0.02666666666666667,5.48
2019,Roberts,70,0.04285714285714286,5.2
